class_name,sfiles_alias,is_primary,family,category,symbol_id,connection_count,display_name
OperatedValve,operated_valve,True,operated_valve,VALVE,PL693Z,2,Operated Valve
Penetration,penetration,False,,OTHER_PIPING,PL386Z,2,Penetration
Pipe,pipe,False,,PIPE,PL384Z,2,Pipe
PipeCoupling,pipe_coupling,False,,PIPE,PL073Z,2,Pipe Coupling
PipeFitting,pipe_fitting,False,,PIPE,PL041Z,2,Pipe Fitting
PipeFlangeSpacer,pipe_flange_spacer,False,,PIPE,PL796Z,2,Pipe Flange Spacer
PipeFlangeSpade,pipe_flange_spade,False,,PIPE,PL578Z,2,Pipe Flange Spade
PipeOffPageConnector,pipe_off_page_connector,False,,PIPE,PL618Z,2,Pipe Off Page Connector
PipeOffPageConnectorObjectReference,pipe_off_page_connector_object_reference,False,,PIPE,PL672Z,2,Pipe Off Page Connector Object Reference
PipeOffPageConnectorReference,pipe_off_page_connector_reference,False,,PIPE,PL710Z,2,Pipe Off Page Connector Reference
PipeOffPageConnectorReferenceByNumber,pipe_off_page_connector_reference_by_number,False,,PIPE,PL820Z,2,Pipe Off Page Connector Reference By Number
PipeReducer,pipe_reducer,False,,PIPE,PL767Z,2,Pipe Reducer
PipeTee,pipe_tee,False,,PIPE,PL789Z,2,Pipe Tee
PipingComponent,piping_component,False,,OTHER_PIPING,PL227Z,2,Piping Component
PipingConnection,piping_connection,False,,CONNECTION,PL331Z,2,Piping Connection
PipingNetworkSegment,piping_network_segment,False,,STRUCTURE,PL297Z,0,Piping Network Segment
PipingNetworkSegmentItem,piping_network_segment_item,False,,STRUCTURE,PL828Z,0,Piping Network Segment Item
PipingNetworkSystem,piping_network_system,False,,STRUCTURE,PL170Z,0,Piping Network System
PipingNode,piping_node,False,,OTHER_PIPING,PL339Z,2,Piping Node
PipingNodeOwner,piping_node_owner,False,,OTHER_PIPING,PL612Z,2,Piping Node Owner
PipingSourceItem,piping_source_item,False,,OTHER_PIPING,PL215Z,2,Piping Source Item
PipingTargetItem,piping_target_item,False,,OTHER_PIPING,PL936Z,2,Piping Target Item
PlugValve,plug_valve,True,plug_valve,VALVE,PL280Z,2,Plug Valve
PositiveDisplacementFlowMeter,positive_displacement_flow_meter,False,,FLOW_MEASUREMENT,PL934Z,2,Positive Displacement Flow Meter
PropertyBreak,property_break,False,,OTHER_PIPING,PL344Z,2,Property Break
RestrictionOrifice,restriction_orifice,False,,FLOW_MEASUREMENT,PL256Z,2,Restriction Orifice
RuptureDisc,rupture_disc,False,,SAFETY,PL978Z,2,Rupture Disc
SafetyValveOrFitting,safety_valve,True,safety_valve,VALVE,PL439Z,2,Safety Valve Or Fitting
SightGlass,sight_glass,False,,OTHER_PIPING,PL437Z,2,Sight Glass
Silencer,silencer,False,,OTHER_PIPING,PL102Z,2,Silencer
SpringLoadedAngleGlobeSafetyValve,spring_loaded_angle_globe_safety_valve,False,safety_valve,VALVE,PL180Z,2,Spring Loaded Angle Globe Safety Valve
SpringLoadedGlobeSafetyValve,spring_loaded_globe_safety_valve,False,safety_valve,VALVE,PL916Z,2,Spring Loaded Globe Safety Valve
SteamTrap,steam_trap,False,,OTHER_PIPING,PL395Z,2,Steam Trap
StraightwayValve,straightway_valve,False,,VALVE,PL593Z,2,Straightway Valve
Strainer,strainer,False,,FILTRATION,PL703Z,2,Strainer
SwingCheckValve,swing_check_valve,False,check_valve,VALVE,PL575Z,2,Swing Check Valve
TurbineFlowMeter,turbine_flow_meter,False,,FLOW_MEASUREMENT,PL358Z,2,Turbine Flow Meter
VariableAreaFlowMeter,variable_area_flow_meter,False,,FLOW_MEASUREMENT,PL643Z,2,Variable Area Flow Meter
VentilationDevice,ventilation_device,False,,OTHER_PIPING,PL390Z,2,Ventilation Device
VenturiTube,venturi_tube,False,,FLOW_MEASUREMENT,PL459Z,2,Venturi Tube
VolumeFlowMeasuringElement,volume_flow_measuring_element,False,,FLOW_MEASUREMENT,PL197Z,2,Volume Flow Measuring Element
